ward,councillor_name,alignment,alignment_delta,lean,p_w,coattail_adjustment
1,Vincent Crisanti,0.46,-0.37079999999999996,-0.0927521617611507,0.34313567437272047,-0.06361735402870237
2,Stephen Holyday,0.14,-0.6908,-0.15949852273930523,0.27638931339456596,-0.09546486884648307
3,Amber Morley,0.95,0.11919999999999997,-0.0772488521770413,0.35863898395682986,0.021374883443827056
4,Gord Perks,0.96,0.12919999999999998,0.12785832768821276,0.563746163822084,0.03641800218290662
5,Frances Nunziata,0.86,0.029200000000000004,-0.0760570455422529,0.35983079059161827,0.005253529542637627
6,James Pasternak,0.64,-0.19079999999999997,-0.1319410984767716,0.30394673765709956,-0.028996518772487295
7,Anthony Perruzza,0.74,-0.09079999999999999,-0.09029494342534539,0.3455928927085258,-0.01568991732896707
8,Mike Colle,0.89,0.05920000000000003,-0.13419364521674854,0.30169419091712263,0.008930148051146834
9,Alejandra Bravo,0.96,0.12919999999999998,0.12603094209833637,0.5619187782322075,0.0362999530738006
10,Ausma Malik,0.96,0.12919999999999998,0.12540693702304495,0.5612947731569161,0.036259642345936774
11,Dianne Saxe,0.95,0.11919999999999997,0.09680490263167896,0.5326927387655501,0.03174848723042678
12,Josh Matlow,0.96,0.12919999999999998,-0.03628274935278375,0.3996050867810874,0.025814488606058242
13,Chris Moise,0.98,0.1492,0.17424253372790888,0.61013036986178,0.04551572559168879
14,Paula Fletcher,0.96,0.12919999999999998,0.1472098153422945,0.5830976514761657,0.0376681082853603
15,Rachel Chernos Lin,0.94,0.10919999999999996,-0.11030990263999901,0.32557793349387215,0.017776555168765414
16,Jon Burnside,0.66,-0.17079999999999995,-0.03663892555662118,0.39924891057725,-0.03409585696329714
17,Shelley Carroll,0.96,0.12919999999999998,-0.033475941725362224,0.40241189440850894,0.025995808378789675
18,Lily Cheng,0.84,0.009199999999999986,-0.023112042914608943,0.4127757932192622,0.0018987686488086033
19,Brad Bradford,0.48,-0.3508,0.05891860087746137,0.49480643701133253,-0.08678904905178772
20,Parthi Kandavel,0.86,0.029200000000000004,-0.014733411045019296,0.42115442508885187,0.006148854606297238
21,Michael Thompson,0.94,0.10919999999999996,-0.026128062228122473,0.4097597739057487,0.02237288365525387
22,Nick Mantas,0.81,-0.02079999999999993,0.027482904324486024,0.4633707404583572,-0.0048190557007668985
23,Jamaal Myers,0.96,0.12919999999999998,0.09978579090437861,0.5356736270382498,0.034604516306670934
24,Paul Ainslie,0.96,0.12919999999999998,-0.06666128122164788,0.3692265549122233,0.023852035447329622
25,Neethan Shan,0.95,0.11919999999999997,-0.04801424013434419,0.387873595999527,0.0231172663215718
